mcc,mcc_description,usda_description,irs_description,irs_reportable,mcc_num,mcc_category
0742,Veterinary Services,Veterinary Services,Veterinary Services,Yes,742,Agricultural Services
0743,Wine Producers,NA,NA,NA,NA,Agricultural Services
0744,Champagne Producers,NA,NA,NA,NA,Agricultural Services
0763,Agricultural Co-operatives,Agricultural Co-operatives,Agricultural Cooperative,Yes,763,Agricultural Services
0780,"Horticultural Services, Landscaping Services",Horticultural Services,Landscaping Services,Yes,780,Agricultural Services
1520,General Contractors-Residential and Commercial,General Contractors-Residential and Commercial,General Contractors,Yes,1520,Contracted Services
1711,"Air Conditioning Contractors – Sales and Installation, Heating Contractors – Sales, Service, Installation",Air Conditioning Contractors – Sales and Installation,"Heating, Plumbing, A/C",Yes,1711,Contracted Services
1731,Electrical Contractors,Electrical Contractors,Electrical Contractors,Yes,1731,Contracted Services
1740,"Insulation – Contractors, Masonry, Stonework Contractors, Plastering Contractors, Stonework and Masonry Contractors, Tile Settings Contractors",Insulation – Contractors,"Masonry, Stonework, and Plaster",Yes,1740,Contracted Services
1750,Carpentry Contractors,Carpentry Contractors,Carpentry Contractors,Yes,1750,Contracted Services
1761,"Roofing – Contractors, Sheet Metal Work – Contractors, Siding – Contractors",Roofing - Contractors,"Roofing/Siding, Sheet Metal",Yes,1761,Contracted Services
1771,Contractors – Concrete Work,Contractors – Concrete Work,Concrete Work Contractors,Yes,1771,Contracted Services
1799,"Contractors – Special Trade, Not Elsewhere Classified","Contractors – Special Trade, Not Elsewhere Classified",Special Trade Contractors,Yes,1799,Contracted Services
2741,Miscellaneous Publishing and Printing,Miscellaneous Publishing and Printing,Miscellaneous Publishing and Printing,Yes,2741,Contracted Services
2791,"Typesetting, Plate Making, & Related Services","Typesetting, Plate Making, & Related Services","Typesetting, Plate Making, and Related Services",Yes,2791,Contracted Services
2842,"Specialty Cleaning, Polishing, and Sanitation Preparations","Specialty Cleaning, Polishing, and Sanitation Preparations",Specialty Cleaning,Yes,2842,Contracted Services
3000,United Airlines,UNITED AIRLINES,Airlines,Yes,3000,Airlines
3001,American Airlines,AMERICAN AIRLINES,Airlines,Yes,3001,Airlines
3002,Pan American,PAN AMERICAN,Airlines,Yes,3002,Airlines
3003,Airlines,NA,Airlines,Yes,3003,Airlines
3004,Trans World Airlines,TRANS WORLD AIRLINES,Airlines,Yes,3004,Airlines
3005,British Airways,BRITISH AIRWAYS,Airlines,Yes,3005,Airlines
3006,Japan Airlines,JAPAN AIRLINES,Airlines,Yes,3006,Airlines
3007,Air France,AIR FRANCE,Airlines,Yes,3007,Airlines
3008,Lufthansa,LUFTHANSA,Airlines,Yes,3008,Airlines
3009,Air Canada,AIR CANADA,Airlines,Yes,3009,Airlines
3010,Klm (Royal Dutch Airlines),KLM (ROYAL DUTCH AIRLINES),Airlines,Yes,3010,Airlines
3011,Aeorflot,AEORFLOT,Airlines,Yes,3011,Airlines
3012,Qantas,QANTAS,Airlines,Yes,3012,Airlines
3013,Alitalia,ALITALIA,Airlines,Yes,3013,Airlines
3014,Saudia Arabian Airlines,SAUDIA ARABIAN AIRLINES,Airlines,Yes,3014,Airlines
3015,Swissair,SWISSAIR,Airlines,Yes,3015,Airlines
3016,Sas,SAS,Airlines,Yes,3016,Airlines
3017,South African Airways,SOUTH AFRICAN AIRWAYS,Airlines,Yes,3017,Airlines
3018,Varig (Brazil),VARIG (BRAZIL),Airlines,Yes,3018,Airlines
3019,Airlines,NA,Airlines,Yes,3019,Airlines
3020,Air-India,AIR-INDIA,Airlines,Yes,3020,Airlines
3021,Air Algerie,AIR ALGERIE,Airlines,Yes,3021,Airlines
3022,Philippine Airlines,PHILIPPINE AIRLINES,Airlines,Yes,3022,Airlines
3023,Mexicana,MEXICANA,Airlines,Yes,3023,Airlines
3024,Pakistan International,PAKISTAN INTERNATIONAL,Airlines,Yes,3024,Airlines
3025,Air New Zealand,AIR NEW ZEALAND,Airlines,Yes,3025,Airlines
3026,Airlines,NA,Airlines,Yes,3026,Airlines
3027,Uta/Interair,UTA/INTERAIR,Airlines,Yes,3027,Airlines
3028,Air Malta,AIR MALTA,Airlines,Yes,3028,Airlines
3029,Sabena,SABENA,Airlines,Yes,3029,Airlines
3030,Aerolineas Argentinas,AEROLINEAS ARGENTINAS,Airlines,Yes,3030,Airlines
3031,Olympic Airways,OLYMPIC AIRWAYS,Airlines,Yes,3031,Airlines
3032,El Al,EL AL,Airlines,Yes,3032,Airlines
3033,Ansett Airlines,ANSETT AIRLINES,Airlines,Yes,3033,Airlines
3034,Austrainlian Airlines,AUSTRAINLIAN AIRLINES,Airlines,Yes,3034,Airlines
3035,Tap (Portugal),TAP (PORTUGAL),Airlines,Yes,3035,Airlines
3036,Vasp (Brazil),VASP (BRAZIL),Airlines,Yes,3036,Airlines
3037,Egyptair,EGYPTAIR,Airlines,Yes,3037,Airlines
3038,Kuwait Airlines,KUWAIT AIRLINES,Airlines,Yes,3038,Airlines
3039,Avianca,AVIANCA,Airlines,Yes,3039,Airlines
3040,Gulf Air (Bahrain),GULF AIR (BAHRAIN),Airlines,Yes,3040,Airlines
3041,Balkan-Bulgarian Airlines,BALKAN-BULGARIAN AIRLINES,Airlines,Yes,3041,Airlines
3042,Finnair,FINNAIR,Airlines,Yes,3042,Airlines
3043,Aer Lingus,AER LINGUS,Airlines,Yes,3043,Airlines
3044,Air Lanka,AIR LANKA,Airlines,Yes,3044,Airlines
3045,Nigeria Airways,NIGERIA AIRWAYS,Airlines,Yes,3045,Airlines
3046,Cruzeiro Do Sul (Brazij),CRUZEIRO DO SUL (BRAZIJ),Airlines,Yes,3046,Airlines
3047,Thy (Turkey),THY (TURKEY),Airlines,Yes,3047,Airlines
3048,Royal Air Maroc,ROYAL AIR MAROC,Airlines,Yes,3048,Airlines
3049,Tunis Air,TUNIS AIR,Airlines,Yes,3049,Airlines
3050,Icelandair,ICELANDAIR,Airlines,Yes,3050,Airlines
3051,Austrian Airlines,AUSTRIAN AIRLINES,Airlines,Yes,3051,Airlines
3052,Lanchile,LANCHILE,Airlines,Yes,3052,Airlines
3053,Aviaco (Spain),AVIACO (SPAIN),Airlines,Yes,3053,Airlines
3054,Ladeco (Chile),LADECO (CHILE),Airlines,Yes,3054,Airlines
3055,Lab (Bolivia),LAB (BOLIVIA),Airlines,Yes,3055,Airlines
3056,Quebecaire,QUEBECAIRE,Airlines,Yes,3056,Airlines
3057,Eastwest Airlines (Australia),EASTWEST AIRLINES (AUSTRALIA),Airlines,Yes,3057,Airlines
3058,Delta,DELTA,Airlines,Yes,3058,Airlines
3059,Airlines,NA,Airlines,Yes,3059,Airlines
3060,Northwest,NORTHWEST,Airlines,Yes,3060,Airlines
3061,Continental,CONTINENTAL,Airlines,Yes,3061,Airlines
3062,Western,WESTERN,Airlines,Yes,3062,Airlines
3063,Us Air,US AIR,Airlines,Yes,3063,Airlines
3064,Airlines,NA,Airlines,Yes,3064,Airlines
3065,Airinter,AIRINTER,Airlines,Yes,3065,Airlines
3066,Southwest,SOUTHWEST,Airlines,Yes,3066,Airlines
